2016-09-04 23:26:14,803 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:26:52,824 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:26:52,825 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:26:52,826 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:26:52,827 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:27:21,053 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-09-04 23:27:29,171 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\mars2.0\group
2016-09-04 23:27:29,171 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2016-09-04 23:30:39,555 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:30:39,557 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:30:39,559 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:30:39,563 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:30:53,289 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:30:53,290 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:30:53,291 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:30:53,292 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:31:09,322 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-09-04 23:31:14,884 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\mars2.0\group
2016-09-04 23:31:14,884 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2016-09-04 23:40:50,397 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:40:50,398 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:40:50,401 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:40:50,402 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:40:51,604 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:40:51,605 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:40:51,606 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:40:51,607 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:42:05,920 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:42:05,928 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:42:05,931 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:42:05,932 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:43:40,527 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:43:40,528 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:43:40,531 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:43:40,532 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:44:01,125 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:44:01,126 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:44:01,129 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:44:01,131 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:44:14,385 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:44:14,386 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:44:14,388 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:44:14,389 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:44:26,502 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:44:26,503 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:44:26,507 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:44:26,508 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:44:52,009 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:44:52,010 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:44:52,012 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:44:52,014 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:45:02,988 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-09-04 23:45:08,727 [Worker-37] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\mars2.0\group
2016-09-04 23:45:08,728 [Worker-37] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2016-09-04 23:47:10,155 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:47:10,157 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:47:10,158 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:47:10,159 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:48:00,282 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:48:00,283 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:48:00,285 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:48:00,286 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:50:28,212 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:50:28,213 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:50:28,215 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:50:28,217 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:50:34,830 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:50:34,831 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:50:34,833 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:50:34,834 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-04 23:53:43,193 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\mars2.0\group
2016-09-04 23:53:43,195 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2016-09-04 23:55:19,780 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:55:19,782 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-04 23:55:19,783 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-04 23:55:19,784 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-05 09:39:25,115 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-05 09:39:25,291 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-05 09:39:25,295 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-05 09:39:25,315 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
2016-09-05 09:44:51,365 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-05 09:44:51,415 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-05 09:44:51,417 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-05 09:44:51,460 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\mars2.0\group\src\test\resources
